Five Stars,So far no issue reported ..
Is it worth Purchasing in 2017,"!!! I am Using this Phone Since last 6 months !!!
----------------------------------------------------------------------------------------------------------------------------------------------------
Please Read Complete Review, it will Help You to take a Decision if you are Planning to Buy it in 2017.
----------------------------------------------------------------------------------------------------------------------------------------------------
NOTE:
@ I am Not mentioning Technical Specs, this Review is Purely from Normal User's Point Of View.
Pros:
1) Screen Size is Perfect.
2) Light weight and very Compact.
3) I am Using JIO sim with it and phone handles maintains good internet Speed.
4) Super Durable, Anodized Back is effectively Scratch Resistant.
NOTE: I am a rough user( ex-Nokia User) and have dropped it many times from various heights, has got few scratches but are almost Invisible.
# See the IMAGES for details.
5) Considerably faster compared to its android counterparts.
6) Handles huge games like NOVA , MC 5, Asphalt 8 Flawlessly.
7) Camera Quality is Unbeatable.
8) Touch ID is better than Previous versions.
9) Touch Sensitive screen has lot of practical uses which are fulfilled by apple's applications.
10) Lot of Accessories Available.
11) Charger and Ear-phones are working fine. (after 6 months of rigorous Use)
12) It has 3.5mm Earphone JACK, which iphone 7 don't.
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
Cons:
1) Memory Availability. You need to Keep on Deleting stuffs Regularly
2) Updates are Regular, but Consumes Lots of Storage.
3) Price is Still high and only occasionally drops, considering the Fact that it was Launched more than 2 years ago.
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
SHOULD YOU BUY THIS PHONE in 2017 ?
YES, definitely go for this phone over iphone 7. Its value for money product and after all its a iPhone.
Please Purchase 32GB version as its Cheaper or same that of 16GB version (Didn't understand why this abnormal pricing).
If you want you 1st iPHONE, then PLEASE, DO NOT Purchase iphone 7 over this, because its much expensive, has almost Similar Features and user Experience and Most Importantly iPhone 8 is Coming this Year, so it would be Foolish to go for iPhone 7 over 6s.
------------------------------------------------------------------------------
If you find this review helpful, then Please Hit YES / Helpful Button.
If you have any Doubt regarding this Review or this Product, then Feel Free to Contact Me.
Thank You for reading this review."
Faulty product,Phone was fine but vibration not working. Recommend everyone to buy from Apple Store only.
Can't go wrong with Apple iPhone!,"It's iPhone! Just some battery issues (as always), that's all!"
Excellent phone.,Live up to its brand name.
Five Stars,I loved it
Five Stars,Happy
No Need to Justify...,Apple is one of the best mobile phone everybody knows so no need to justify and product is awesome and delivery is so fast...
Five Stars,Its awesome
A decent overall package,"OS: Stable OS. Note: Android also is stable but in its pure form only.
Build Quality: Good. However, Samsung build quality is the best.
Easy of service: Ok. Again Samsung is better.
Genral solution with Apple is either you replace the screen or the piece. E.g. Fingerprint sensor is not working then replace the entire screen.
OS Support: iOS has better software support in terms of upgrades and security fixes."
Five Stars,Good platform to buy good product
Cheated on warranty,Why i was not given the whole year of warranty??????
Headphone jack not working,The headphone jack is not working in iphone 6s gold.. its just been 20 days and its not working..
good,Purchased from EasyBuy-SLP. good seller and satisfied with this purchase .
Beware of Amazon,Duplicate product. Phone hardly work for a week then it got dead ans also not getting support from Apple service centre for this product.
its ok,Phone me spot h
Superb phone,Awesome
One Star,Fault product...
Thumbs up!!,Original phone. The product packaging was great! Got at a good price!! What can you expect more??
Awesome.... please go and buy this deal...,"This is actually good. Delivery was good and the product inside was brand new. On the back there is also self declaration of is mentioned which is now compulsary for all the electronic products in India. All the accesories are present in the box and not checked the charger and the earphones (As i have an extra old set), but i hope that they are in eorking condition too.
Thanks Amazon and the seller too."
iPhone 6s a very good phone to buy even in 2017,"As we all know IPhone 6S is a very good Product, i Feel the same while using it, it does not consume must battery as the android Phone does and no unnecessary apps in the background."
Excellent mobile,Excellent mobile. It's looks and functions are simply superb. I don't feel that I have spent the money. It feels like an investment.
Review from an android user,"I hv been using Andriod phones and hv always used flagships, wanted to buy a secondary phone so thought for a change.. phone itself has been very good.. confirmed frim apple support that phone was genuine and warranty started on the day I received it and when I activated it. Was delivered at committed time. Experience jas been good so far except for few features that I miss from Andriod but bot a deal breaker. I might continue with iphone in future depending on the reliability of this one. No hangs or problems with the phone functionality so far"
Apple Best Performance oriented iPhone,"Why should you care about the iPhone 6S?
Its a phone that is similar when compared with its sibling the iPhone 6 but hey its not the same device its an another iPhone but in the same clothing
what is all about the iPhone 6S..?
its a phone that has the same chassis as the famous iPhone 6, but hey the phone is not at all the same this is known as 6S comes with some unique colour like Rose gold, just not the color this iPhone has a feature like 3D touch which is again a patent unique to apple iPhone only you wont get to see this features in any other smartphone, other than that it comes with the best camera 12MP i-sight camera which is one of the best in its category even after this device is two year old but everyone wants to buy it there are no changes but still everyone wants to own one this is the magic of Apple.
It also gets an bigger battery which makes this device last longer and due to the A9 processor the battery has surely improved making this device faster than Before this surely makes this device a perfect buy in 2017 if you want to have smart looking iPhone device this should be your choice it also looks pretty neat then the latest iPhone 7 and there are no much big differences between both the device this phone will outperform all those big size android smartphones, this can surely be your cup of cake, if you are tired using those android device and want to come to iPhone family, and have a budget that of iPhone 6s guys then this is the right choice for you, you are getting a balance specification which comes with iPhone 7 and, this part is lovely.
Today owing This iPhone is just like driving a BMW where quality matters the most, One advice i would like to give to all those who are reading this if you have finalized getting this iPhone make sure you wait for this June end as there can be a price drop in coming months which can save you some amount after the launch of iPhone 8.
Even getting this phone at this price will surely make your day once you start using it,
I hope this review helped you if it did please do click YES."
Top notch product,Very good product & nice discounts offered by Amazon.Battery life is on bit lower side compared with other android phone.
A worthy successor to the 5S,"It's hard to write reviews about iconic, and commercially successful products, like the iPhone, because it is unlikely that we will be able to find something to write - that has not already been written about.
Nonetheless, the perspective of a rating changes, when the price-point of a product changes.  The fact that the 6S is today available at a price at which the 5S used to be sold 2 years ago, does make one look at this phone differently.
For those (like me) who are loyalists of timeless & classic design masterpieces from Nokia (N-Series, Lumia 9XX), Apple (5-series), and HTC (One-series) the iPhone 6/7-series design changes were a sacrilege, that tantamount to succumbing in to mass-market needs.  However, look beyond that, and the iPhone 6S is still as beautifully crafted as all iPhones are, and it is hard to find any flaws per se.
And for those of us, who care more about what's under the hood, rather than the shell, the relative price difference between the 6 and the 6S is worth it.
Personally, I like the marginally thicker design of the 6S, as it gives the phone some much-needed heft, as well as the necessary psychological reassurance of eliminating any fears of Bendgate, that battered the iPhone 6's image.  Build quality and craftsmanship continue to be top notch.
The improvement in responsiveness & performance is evident, especially if you are upgrading from a 2-year old 5S, as is the improvement in the quality of the Retina display.  I also think that the form factor of 4.7&#34; screen strikes the right balance between readability & usability; and is therefore another step in the right direction.
The higher resolution front-facing camera is a much-needed fix for today's selfie-obsessed generation, and irons out one of the key weaknesses of the old phone.
Needless to say, the increase in RAM to 2GB, is also reassuring, as it increases the perceived life of the phone, given that apps will continue to become more & more memory intensive.  Not that 1GB RAM was ever inadequate for the 5-series, because the beauty of iOS (like Windows Phone) lay in the fact that it is, by design, a far more resource-efficient Operating System, when compared to Android.
On the whole, a worthy buy for those who don't care much about flaunting the latest & biggest, especially at the price-points it is now available at.
And yes, most women, like my wife, will tend to like the Rose Gold variant :-)"
The best phone ever,The best phone ever! Bought it from amazon for probably the lowest price ever ! Have been an apple user for the past 5 years ! The best in all aspects
Honest Review !!,"Honest review of this amazing phone after 10 days of usage.
The build quality of this phone is amazing.
The processor runs blazing fast with no lags.
Screen produces vibrant colors with crisp details.
The Camera takes stunning pictures in low lights as well.
Battery lasts for about 12 hours of intense usage.
Black color looks gorgeous.Go for it.
3 stars just because my friend got this for less price.
Use a discount code on Amazon. For code, go to:
bit.do/ amazon-pricedrop"
Please don't buy...amazon sells defective phones,Faulty product...speaker is defective....i started to hate Amazon
One Star,Cannot hear anything on incoming calls.
Five Stars,"Great phone as expected, reached on time, best phone to buy"
iPhone 6S - Touch pad issue,"I got the new iPhone product on May 16, 2017 however noticed that the touch pad is not working and I would like the product to be replaced. It is appreciated if I receive a quick response on this issue."
1 day use...phone working good,Till now it's working fine..
Highly recommended !!,Worth to buy it !! Great product with lowest price in market only on amazon? thanx amazon
BEST PHONE EVER,"All those who are hesitating to buy phone online.. This is the right place for you... I ordered this phone and it was delivered me within two days... The packing was soo good... And more importantly it was a fresh piece...
&#62;&#62;Excellent packing
&#62;&#62;All the products like charger, earphone etc were perfect
&#62;&#62;It was a new and fresh piece
&#62;&#62;The phone's battery was about 60% as usual in all new phones
&#62;&#62;I am happy?
Soo you guys don't hesitate just buy it?"
Very good,Very nice ?
Defective product,Product seems to be defective..incoming call volume is extremely low..extremely disappointed
Five Stars,Fantastic
Very nice product. Original Apple,"Very nice product. Original Apple. I was really breakING my head to go for android or IOS as android is user friendly. I was aboit to ider 1+ 3T but ordered this to give a try. Upto my surprise it corrected by wrong thinking. No wonder why the whole world die after Apple products. What an experience. One can't tell what is so great it until they use it. EXPERIENCE !! U can't get that rich feel no matter how much ever costly phone u use in Android. If u r confused to move android to IOS or fro android to android,  go get an IOS. U will be amazed. Take my word !"
Love it,Amazing phone. Delivery and packaging also nice.
I am loving my iPhone 6s .,Best product for ever. Nice outlook. beautifully designed.
Awesome phone user experience,I don't wanna say anything about the price but I am using this phone for a year now believe me I am completely satisfied with it and the care is very helpful they got my iPhone replaced just because of lagging problem it gave me the experience no android phone did so if u can invest his kind of money It  will withstand ur expectations go  for it feel free to ask any thing about it
Accessories missing,"Got a product without accessories.
Not expected from such a brand name Organization."
iPhone experience,"I got this as gift from amazon in maharaja sale that is why not showing as verified purchase.
This is the first time I am using iOS and I have always been using android phones. My serious advice to you first of all is that be very sure you want an iPhone before making a switch because android users will find that iOS is pretty restricting and not as customizable and feature packed as android. I have been using it for two days and already feeling the frustration of a lot of missing features. A lot of basic tasks require one or two extra steps in iPhone that can be done with a single click in android.
That being said iphones have superior build, better resale value and higher security so over all they are good if you are willing to spend so much for a phone. The camera is definitely way better than anything I got on any of the high end android phones I used. Compared to App Store reviews in google play, the apple App Store seems pretty deserted as far as reviews and activities on Indian apps is concerned.
Over all I have mixed feelings about making the switch to apple. It will take more time getting used to. If you are a typical google fanboy or girl and use a lot of android features then I suggest you don't go for iPhone, android has way better variety in market.
As for the phone itself, nothing much to say except you get what you pay for. It is a beautiful and sleek phone with excellent performance. No heating or hanging issues whatsoever. Charging is blazing fast as well compared to my android phones. It was a big investment and I hope I will be delighted by the iPhone experience in due time."
mic does not work. how could we call it a phone before calling it an iphone,I believed an iphone is an iphone and that's it but was shocked to have a faulty one where the mic is not working. Its not a china mobile and that's the reason i invested such price in it believing it takes that price to earn it but now i am not sure if i did right.
Five Stars,Value for Money
Received defective piece,"Speakers is defective not working properly ,  i checked speaker is not working , I restart 3 4 times then the speaker start works , but volume like 10% of as compared to my friends iphone same model"
that's what I like about apple products,"Smooth as hell, that's what I like about apple products."
Chinese phone instead of apple iphone 6s,"I never seen such a pathetic services.i ordered Iphone but i got chinese from having android app when open ,instead of apple store.
I will give zero star and recommend not to use this app.Now this is the intigrity issue of amazon image."
One Star,very bad experience. wrong product delivered
Five Stars,Happy with the product. Got a sealed pack was exactly as mentioned.
3d touch is awsome and very useful.,Totally worth it. 3d touch is awsome and very useful.
Five Stars,simply worth it :)
Superfast delivery,Fully satisfied and hatsoff for the ultra fast delivery within 3 days
Great delivery !!Great phone !!,great phone !!delivered before expected time !! after using android all my life i phone feels great for a change !! probably gonna be i phone customer from here on.great service amazon !!
It is pretty good.,"It is pretty good.... cost is quiet high compare to other product, Apart from that iPhone is great experiance and it will meet your expectation. Sometimes it will exceed your expectation as well... Cheers...!!!!"
Nice product. Worth for money paid,Nice product.  Worth for money paid.
great product,Amazon has once again proved its quality of delivery .Very good buy and got it before the date.I was not sure whether to take this product from Amazon as some issued defeact on the phone.But worth for this money
Beauty and the Beast!,Best upgrade you can get from iPhone 5s.
Five Stars,Good Product!!! User Friendly.
Battery life is not good..,Battery life is not great ........
Four Stars,Nice
NEVER Buy without Return Policy,Bad experience ! Read the fine lines before ordering
It was my bad that I didn't remove the cover on the,"Thanks for the product , product was not defective.
It was my bad that I didn't remove the cover on the iphone"
Three Stars,Received faulty earphones.
"Amazing product, totally safe to order online.","For all of you out there wondering if you should order online or not, I was in the same place a few days ago and it was my first time ordering a high ranged smartphone online.
I was scared until I opened the package, but to my delight, everything was good.
The quality of the product I received is awesome, the phone is brand new and amazing.
This was my first time switching from android to apple and trust me I wish I'd done it sooner.
Definitely ,go for it! :)
- A happy user."
... said about iPhone It's superb and amazon gave a good deal and,"What can be said about iPhone
It's superb and amazon gave a good deal and delivery"
"Good delivery, still reviewing","When opened box expecting device should have some batter but was dead!
Amazon delivery is good on time. But was expecting device should have an power."
best product to  buy online is  iphone mobiles,i have checked with iphone store and everything is fine but problem with airtel sim
Warenty card not found,Warenty  card is not found so how is it? There is just a bill and there is no discription of warenty in it.
Good Phone overall.. very bad battery backup,"Pros:
Great built quality
Good performance
Great gaming and media experience
Cons:
Poor battery backup
Heats up easily with normal 5~10mins usage"
iPhone at it's best,"Excellent service from amazon got my 6s two days before then expected
Cmg to mobile it is superb just go for it
Loving it"
Highly Recommended,"Excellent Product, Thoroughly Enjoying It So Far ! Amazing Camera . Love Everything About This. A Must Buy If You Are Intending"
I phone 6s,"First of all if you choose free delivery it will take around 5 days for shipping talking about the product now the phone is outstanding in all things like speed, camera and multitasking this phone can be compared to I phone 7 but if you are under the budget of 40 k then go for this phone it is really awesome and will not unsatisfy you just the thing different from I phone 7 in this phone is it is not water resistant rest all things can be compared to I phone 7 and 6s also has a headphone jack seriously guys go for this phone even if you have to increase your budget by 5k if you are buying a phone in range of 30 k"
